YEAR,RATE
1960,12.4780079066059
1961,12.6116129504072
1962,12.7627976052351
1963,12.9210141044735
1964,13.0862624481226
1965,13.2937018582352
1966,13.6945169896393
1967,14.0742365878116
1968,14.6754592849177
1969,15.4770895477258
1970,16.3806815544876
1971,17.0838659955474
1972,17.64289762619
1973,18.7328335098326
1974,20.8037116887537
1975,22.7058256018204
1976,24.0102327399863
1977,25.571302199139
1978,27.5226390230799
1979,30.6201664859483
1980,34.768954688201
1981,38.3622271820165
1982,40.7143791373614
1983,42.0223021977326
1984,43.8294862112563
1985,45.3835238259984
1986,46.2449247662966
1987,47.9395992692507
1988,49.8944520153969
1989,52.3028587260267
1990,55.1261442568817
1991,57.4607166012002
1992,59.2010980928232
1993,60.9485114288567
1994,62.5377082656518
1995,64.292153446096
1996,66.1766877481362
1997,67.7236935184677
1998,68.7749542578521
1999,70.27976896172
2000,72.6530164502968
2001,74.7063150181914
2002,75.8911808013771
2003,77.6139826819736
2004,79.6918927053052
2005,82.3956368811801
2006,85.0536740683861
2007,87.4799768230408
2008,90.8384208727644
2009,90.5154482589856
2010,91.9999409325069
2011,94.9042333109721
2012,96.8681219771859
2013,98.2870778608004
2014,99.8815134216814
2015,100.0
2016,101.261583205705
2017,103.418566319434
2018,105.944650946275
2019,107.864590584923
2020,109.195191343518
2021,114.325027318716